id,lang,audio_ms,chars,stt_ms,wait_ms,feature_ms,infer_ms,rtf,tts_ms,tts_synth_ms,tts_audio_ms
1,hi,1300,2,2020.3,19.9,211.8,1788.5,1.5387,0.0,0.0,0
2,hi,1400,10,626.2,1.4,30.9,593.9,0.4463,0.0,0.0,0
3,hi,1400,9,1137.1,2.4,92.5,1042.3,0.8105,0.0,0.0,0
4,mr,1400,11,8362.0,6402.6,100.7,1858.7,1.3996,0.0,0.0,0
5,mr,1600,19,1277.2,8.0,42.3,1226.8,0.7932,0.0,0.0,0
6,mr,2100,24,2026.2,1.8,89.4,1935.0,0.9640,0.0,0.0,0
7,mr,1600,19,610.6,2.7,32.6,575.4,0.3800,0.0,0.0,0
8,mr,0,0,0.0,0.0,0.0,0.0,0.0000,0.0,2.5,0
9,mr,0,0,0.0,0.0,0.0,0.0,0.0000,0.0,4.0,0
10,hi,800,4,312.9,4.6,35.9,272.4,0.3854,0.0,0.0,0
11,hi,1400,23,447.6,2.0,34.2,411.3,0.3183,0.0,0.0,0
12,hi,1700,10,1226.8,12.0,114.1,1100.7,0.7146,0.0,0.0,0
13,hi,1300,13,1047.8,1.1,31.7,1015.0,0.8052,0.0,0.0,0
14,hi,2900,19,883.0,12.0,56.1,814.9,0.3003,0.0,0.0,0
15,hi,1600,18,481.7,5.1,50.8,425.9,0.2979,0.0,0.0,0
16,hi,1600,20,596.0,3.5,53.2,539.3,0.3703,0.0,0.0,0
17,hi,1500,7,466.8,5.3,52.0,409.5,0.3077,0.0,0.0,0
18,hi,1800,12,576.3,2.8,55.6,517.9,0.3186,0.0,0.0,0
19,hi,1500,12,432.3,1.5,18.3,412.5,0.2872,0.0,0.0,0
20,hi,1500,13,467.3,1.2,39.0,427.1,0.3108,0.0,0.0,0
21,hi,1700,12,507.0,4.2,27.4,475.5,0.2958,0.0,0.0,0
22,hi,900,7,294.1,1.0,16.6,276.4,0.3256,0.0,0.0,0
23,hi,1800,7,536.9,6.6,26.7,503.6,0.2946,0.0,0.0,0
24,hi,1500,5,500.7,4.6,35.6,460.5,0.3308,0.0,0.0,0
25,hi,1500,4,500.7,2.1,38.4,460.2,0.3324,0.0,0.0,0
26,hi,2500,8,752.6,2.4,65.6,684.6,0.3001,0.0,0.0,0
27,hi,1200,10,397.7,1.7,22.8,373.1,0.3299,0.0,0.0,0
28,ta,1500,10,605.1,0.9,23.3,580.9,0.4028,0.0,0.0,0
29,ta,2200,18,843.6,1.9,36.6,805.2,0.3826,0.0,0.0,0
30,ta,3300,29,940.5,6.5,81.2,852.8,0.2830,0.0,0.0,0
