id,lang,audio_ms,chars,stt_ms,wait_ms,feature_ms,infer_ms,rtf,tts_ms,tts_synth_ms,tts_audio_ms
1,hi,1600,32,1350.7,15.3,97.6,1237.8,0.8347,0.0,0.0,0
2,hi,0,0,0.0,0.0,0.0,0.0,0.0000,865.9,781.8,2542
1,hi,1300,25,1209.8,1.3,105.6,1102.9,0.9296,0.0,0.0,0
2,hi,1600,4,917.7,4.0,19.6,894.0,0.5710,0.0,0.0,0
3,hi,1300,13,740.2,1.1,20.3,718.8,0.5685,0.0,0.0,0
4,hi,2500,19,1050.9,0.6,35.8,1014.6,0.4201,0.0,0.0,0
5,hi,1500,4,611.3,10.5,17.9,583.0,0.4006,0.0,0.0,0
6,hi,1300,2,548.4,1.7,7.3,539.4,0.4205,0.0,0.0,0
7,hi,0,0,0.0,0.0,0.0,0.0,0.0000,319.0,271.4,534
8,hi,0,0,0.0,0.0,0.0,0.0,0.0000,316.2,281.0,1404
9,hi,0,0,0.0,0.0,0.0,0.0,0.0000,123.4,83.7,394
10,hi,0,0,0.0,0.0,0.0,0.0,0.0000,292.3,255.7,1346
11,hi,0,0,0.0,0.0,0.0,0.0,0.0000,268.1,230.1,1253
12,hi,0,0,0.0,0.0,0.0,0.0,0.0000,208.0,175.6,893
13,hi,0,0,0.0,0.0,0.0,0.0,0.0000,185.0,150.5,789
14,hi,0,0,0.0,0.0,0.0,0.0,0.0000,236.0,162.3,801
15,hi,0,0,0.0,0.0,0.0,0.0,0.0000,218.0,186.4,859
16,hi,0,0,0.0,0.0,0.0,0.0,0.0000,199.8,163.2,870
